area,SDG 1,SDG 2,SDG 3,SDG 4,SDG 5,SDG 6,SDG 7,SDG 8,SDG 9,SDG 10,SDG 11,SDG 12,SDG 13,SDG 15,SDG 16,Composite Score,year,Indicator 1,Indicator 2,Indicator 3
Meghālaya,68,43,52,38,36,40,11,62,42,100,39,,,94,53,52,2018,40.77,60.39,77.90
Mizoram,71,69,53,54,43,67,78,65,0,100,32,,,69,71,59,2018,48.91,92.47,68.11
Nāgāland,59,69,34,45,42,58,45,40,0,80,32,,,75,87,51,2018,9.09,77.48,29.99
Odisha,59,46,54,46,43,46,23,53,32,78,34,,,100,55,51,2018,46.18,97.05,96.19
Punjab,56,71,71,63,43,60,61,57,48,62,36,,,67,84,60,2018,23.05,65.33,15.13
Rājasthān,59,45,49,73,37,43,63,57,62,79,45,,,68,81,59,2018,56.85,24.56,72.26
Sikkim,64,67,52,47,50,78,47,57,1,67,56,,,98,66,58,2018,55.60,63.91,22.86
Tamil Nādu,76,61,77,75,38,66,89,71,46,85,33,,,74,61,66,2018,10.88,84.59,10.01
Tripura,71,58,53,56,38,38,32,52,38,89,38,,,86,71,55,2018,87.67,18.27,49.60
Uttar Pradesh,48,43,25,53,27,55,23,55,29,38,37,,,55,61,42,2018,74.51,65.99,49.43
Uttarākhand,65,53,36,68,41,78,55,67,33,62,41,,,100,86,60,2018,34.67,44.97,92.07
West Bengal,57,50,66,51,40,54,40,63,45,76,25,,,88,72,56,2018,12.78,42.18,60.02
Andaman and Nicobar Islands,57,38,60,69,58,71,56,60,0,69,64,,,84,72,58,2018,82.61,53.11,77.68
Chhattīsgarh,39,70,23,85,51,100,96,82,76,52,40,,,83,90,68,2018,5.84,63.71,11.18
Dadra and Nagar Haveli,21,40,32,77,41,100,73,84,0,100,6,,,100,63,57,2018,46.68,47.03,61.84
Daman and Diu,58,42,47,46,38,99,84,91,0,100,49,,,84,79,63,2018,85.12,81.32,35.20
Delhi,30,72,47,58,37,62,51,86,100,80,39,,,77,68,62,2018,76.90,26.79,80.06
Lakshadweep,43,47,64,62,35,100,60,60,0,100,0,,,100,74,62,2018,71.76,27.74,5.27
Puducherry,61,71,66,69,27,45,61,85,100,94,27,,,50,92,65,2018,14.62,38.39,60.11
